绝招：消耗大量的气力，造成强大的伤害。<color\=#FF0000>可中断捅人、暗器行动</color>	ท่าไม้ตาย: ใช้พลังกายมหาศาล ก่อความเสียหายรุนแรง<color\=#FF0000>สามารถขัดจังหวะท่าแทงและการใช้อาวุธลับได้</color>
心印掌。	ฝ่ามือตราใจ
可恶...快不行了...换人！	อุบาทว์...ใกล้จะทนไม่ไหวแล้ว...เปลี่ยนคน!
金兵	ทหารจิน
听三师兄讲课	ฟังพี่สามสอนวิชา
大焦热神功。	มหาสูตรเพลิงร้อนระอุ
我才刚被赶出来……又要进去讨骂？	ข้าเพิ่งถูกไล่ออกมา……จะให้กลับเข้าไปหาเรื่องให้เขาด่าอีกหรือ?
赶紧下山找人吧！	รีบลงเขาไปตามคนมาเถิด!
<color\=#FF7979>为防剧透，本次试玩版中，三师兄将被无情封口。</color>	<color\=#FF7979>เพื่อป้องกันการสปอยล์ ในเดโมทดลองเล่นครั้งนี้ พี่สามจะถูกปิดปากอย่างไร้เมตตา</color>
<size\=18>哥～哥～～</size>	<size\=18>พี่～พี่～～</size>
<size\=24>……一脸为难的样子呢，这位赵少侠莫不是做不了主吗？</size>	<size\=24>...ท่าทางลำบากใจอย่างนั้น ท่านยุวชนยอดฝีมือจ้าวหัวนี่ตัดสินใจเองไม่ได้หรือ?</size>
<size\=24>……不要挑食，能吃你就该偷笑了。</size>	<size\=24>...อย่าเลือกกินนัก มีจะกินก็ควรดีใจแล้ว</size>
<size\=24>……他这样说哦。</size>	<size\=24>...เขาว่าอย่างนั้นแหละ</size>
<size\=24>……会被杀掉的。</size>	<size\=24>...จะถูกฆ่าตายนะ</size>
<size\=24>……但是奴家听了很是欢喜。</size>	<size\=24>...แต่ข้าได้ยินแล้วก็รู้สึกปลื้มใจยิ่งนัก</size>
<size\=24>……住口吧，蠢材。除非这样，否则如何保住宫人？</size><size\=24>别自命正义不凡了，你会害温夫人的觉悟付诸东流。</size><size\=24>你有本事就去改变这个人间，别在这发牢骚。</size>	<size\=24>...หุบปากเถิด เจ้าโง่เขลา นอกจากทำเช่นนี้แล้ว จะรักษาคนในวังไว้ได้อย่างไร?</size><size\=24>อย่าคิดว่าตนเองชอบธรรมเลิศเลอนัก เจ้าจะทำให้ความมุ่งมั่นของท่านหญิงเวินสูญเปล่า</size><size\=24>มีความสามารถก็ไปเปลี่ยนแปลงโลกมนุษย์นี้สิ อย่ามาบ่นอยู่ตรงนี้</size>
<size\=24>……你抱我啊，用背的也可以。</size>	<size\=24>...เจ้าอุ้มข้าสิ จะแบกด้วยหลังก็ได้</size>
<size\=24>……努力过没有结果，跟没有努力是一样的，没有人会在意区别。</size>	<size\=24>...พยายามแล้วไม่สำเร็จ ก็ไม่ต่างจากไม่ได้พยายามเลย ไม่มีใครสนใจความแตกต่างหรอก</size>
<size\=24>……大师兄，你把人家弄哭了，这可怎么办？</size>	<size\=24>...พี่ใหญ่ ท่านทำให้นางร้องไห้แล้ว จะทำอย่างไรดี?</size>
<size\=24>……师弟，快说点什么。</size>	<size\=24>...ศิษย์น้อง รีบพูดอะไรสักอย่างสิ</size>
<size\=24>……干嘛看我。</size>	<size\=24>...มองข้าทำไม</size>
<size\=24>……掌门都没说什么，要你来大小声。</size>	<size\=24>...เจ้าสำนักยังไม่ได้ว่าอะไรเลย เจ้าจะมาตะโกนใส่ทำไม</size>
<size\=24>……根本不好笑，糟老头子。</size>	<size\=24>...ไม่เห็นตลกเลยสักนิด เฒ่าทึนทึกบัดซบ</size>
