一个小时之后的你	เจ้าในอีกหนึ่งชั่วโมงถัดไป
三师兄想教你练功	พี่สามอยากสอนวิทยายุทธ์แก่เจ้า
三师兄正在犹豫	พี่สามกำลังลังเล
三师兄的决定	การตัดสินใจของพี่สาม
三师兄的决策	การตัดสินใจของพี่สาม
三师兄的发现	การค้นพบของพี่สาม
三师兄的回应	คำตอบของพี่สาม
上官萤的建言	คำแนะนำของซ่างกวนอิง
不速之客向你逼近	แขกไม่ได้รับเชิญรุกเข้าหาเจ้า
与弟子赌博	เล่นพนันกับศิษย์
丐帮大义分舵之行	การเดินทางสู่สาขาต้าอี้แห่งพรรคขอทาน
中小门派答复	คำตอบจากสำนักเล็กสำนักน้อย
中毒程度	ระดับพิษในกาย
为何你会身中此毒	เหตุใดเจ้าจึงถูกพิษนี้
主攻者	ผู้นำโจมตี
乞丐与和尚的决斗	การประลองระหว่างขอทานกับพระ
了解二师兄的深意	เข้าใจนัยลึกซึ้งของพี่รอง
争执的结果	ผลของการโต้เถียง
二师兄的决断	การตัดสินใจของพี่รอง
二师兄的反应	ปฏิกิริยาของพี่รอง
仇敌现身	ศัตรูปรากฏตัว
今日伙食	อาหารวันนี้
休沐日遭遇的是	สิ่งที่พบเจอในวันหยุดพักคือ
似乎在讨论什么	ดูเหมือนกำลังปรึกษาเรื่องอะไรบางอย่าง
你今日的对手	คู่ต่อสู้ของเจ้าวันนี้
你们的午饭	อาหารเที่ยงของพวกเจ้า
你察觉了什么	เจ้าสังเกตเห็นอะไร
你干了哪件事	เจ้าทำเรื่องอะไรลงไป
你想说的事情	เรื่องที่เจ้าอยากพูด
你打听的事情	เรื่องที่เจ้าสืบถาม
你接下来	ก้าวต่อไปของเจ้า
你是	เจ้าคือ
你是在哼什么？	เจ้ากำลังฮัมเพลงอะไรอยู่？
你正在	เจ้ากำลัง
你泡的茶	ชาที่เจ้าชง
你的上山之路	เส้นทางขึ้นเขาของเจ้า
你的下一个对手	คู่ต่อสู้คนต่อไปของเจ้า
你的下场	ชะตากรรมของเจ้า
你的人马呢？	ไพร่พลของเจ้าอยู่ที่ใด？
你的信用	ความน่าเชื่อถือของเจ้า
你的修养	ความสำรวมของเจ้า
你的冰糖葫芦生意	กิจการขายทังหูลูของเจ้า
你的决定	การตัดสินใจของเจ้า
你的勇气	ความกล้าหาญของเจ้า
你的反应	ปฏิกิริยาของเจ้า
你的召唤咒文	คาถาอัญเชิญของเจ้า
你的嘴攻冲动	อารมณ์อยากปากจัดของเจ้า
你的回应	คำตอบของเจ้า
你的安抚	คำปลอบโยนของเจ้า
你的察觉	การสังเกตของเจ้า
你的对应方针	แนวทางรับมือของเจ้า
你的对手	คู่ต่อสู้ของเจ้า
你的对策	มาตรการของเจ้า
你的心动程度	ระดับที่ใจเจ้าหวั่นไหว
你的心意	ความในใจของเจ้า
你的想法	ความคิดของเจ้า
你的意图	เจตนาของเจ้า
你的战利品	ของที่ริบมาได้ของเจ้า
你的战绩	ผลงานการต่อสู้ของเจ้า
你的抉择	การตัดสินใจของเจ้า
你的抵抗	การต่อต้านของเจ้า
你的挣扎	การดิ้นรนของเจ้า
你的晚膳	อาหารค่ำของเจ้า
你的智谋	ไหวพริบของเจ้า
你的歌喉	เสียงร้องเพลงของเจ้า
你的犯意	เจตนาร้ายของเจ้า
你的犯罪冲动	แรงกระตุ้นก่ออาชญากรรมของเจ้า
你的猜测	การเดาของเจ้า
你的行动	การกระทำของเจ้า
你的觉悟	ความสำนึกของเจ้า
你的解释	คำอธิบายของเจ้า
你的警觉	ความระแวดระวังของเจ้า
你的辩解	คำแก้ตัวของเจ้า
你的遭遇	เรื่องราวที่เจ้าพบเจอ
你的野心	ความทะเยอทะยานของเจ้า
你的领悟	ความเข้าใจของเจ้า
你的飞行方向	ทิศทางการบินของเจ้า
你睡了吗	เจ้าหลับแล้วหรือยัง
你试的药	ยาที่เจ้าทดลอง
你说了啥	เจ้าพูดอะไรไป
修练成效	ผลของการบำเพ็ญเพียร
做什么	ทำอะไรดี
做点事情吧	ทำอะไรสักอย่างเถิด
全真派印象	ความประทับใจต่อสำนักฉวนเจิน
决定看的书	หนังสือที่ตัดสินใจอ่าน
决斗结果	ผลการประลอง
凭何无妨？	มีเหตุผลใดจึงไม่เป็นไร？
出使峨嵋派的结果	ผลการเป็นทูตไปสำนักเอ๋อเหมย
出使青城派的结果	ผลการเป็นทูตไปสำนักชิงเฉิง
出手相助斗笠人	ยื่นมือช่วยชายหมวกงอบ
剪药的结果	ผลการเตรียมสมุนไพร
办妥了是说	ว่ากันว่าจัดการเรียบร้อยแล้ว
南宫世家印象	ความประทับใจต่อตระกูลหนานกง
南宫深的反应	ปฏิกิริยาของหนานกงเซิน
南宫深的回答	คำตอบของหนานกงเซิน
南宫远的行动	การกระทำของหนานกงหยวน
发觉	การค้นพบ
可疑行径的威慑力	พลังข่มขู่จากพฤติกรรมน่าสงสัย
叶云舟的想法	ความคิดของเย่หวินโจว
叶云裳在喇逼鵰	เย่หวินฉางกำลังพล่ามโอ้อวด
叶云裳的今日点心	ขนมของเย่หวินฉางวันนี้
叶云裳的冲击	แรงปะทะจากเย่หวินฉาง
叶云裳的办法	วิธีการของเย่หวินฉาง
叶云裳的探索成果	ผลการสำรวจของเย่หวินฉาง
叶云裳的行径	พฤติกรรมของเย่หวินฉาง
叶云裳给的秘籍	คัมภีร์ลับที่เย่หวินฉางมอบให้
叶云裳采取的行动	การกระทำของเย่หวินฉาง
向无忧的态度	ท่าทีของเซี่ยงอู๋โหยว
向无忧的目标	เป้าหมายของเซี่ยงอู๋โหยว
吕翁的提议	ข้อเสนอของเฒ่าลวี่
咬你的是	สิ่งที่กัดเจ้าคือ
哪个是真的大师兄	ใครกันแน่คือพี่ใหญ่ตัวจริง
唐芳药材回收程度	ระดับการรวบรวมสมุนไพรของถังฟาง
唐门伤亡	ความบาดเจ็บล้มตายของสำนักถัง
唬烂结果	ผลของการโกหกหลอกลวง
四师兄的决策	การตัดสินใจของพี่สี่
四师兄的回馈	ผลตอบรับของพี่สี่
四师兄送你的东西	ของที่พี่สี่มอบให้เจ้า
在那之前	ก่อนหน้านั้น
声波对你的影响	ผลกระทบของคลื่นเสียงต่อเจ้า
夏侯兰的决定	การตัดสินใจของเซี่ยโหวหลาน
夏侯兰的首肯	คำยินยอมของเซี่ยโหวหลาน
大师兄召唤术	วิชาอัญเชิญของพี่ใหญ่
大师兄所在	ที่อยู่ของพี่ใหญ่
大师兄的抉择	การตัดสินใจของพี่ใหญ่
大师兄的绝招	ท่าไม้ตายของพี่ใหญ่
大师兄要求与飞石帮战斗	พี่ใหญ่ขอสู้กับพรรคก้อนหินบิน
大师姑今日的心情	อารมณ์ของท่านป้าใหญ่วันนี้
大院的情况	สถานการณ์ในคฤหาสน์ใหญ่
天武门的反应	ปฏิกิริยาของสำนักเทียนอู่
她就是	นางคือ
如何回应	วิธีตอบสนอง
如何处置	วิธีจัดการ
官兵大战丐帮的结果	ผลการสู้รบระหว่างทหารหลวงกับพรรคขอทาน
实际的伤势	อาการบาดเจ็บที่แท้จริง
客栈的消遣	เรื่องบันเทิงในโรงเตี๊ยม
对上官隼沟通策略	กลยุทธ์การเจรจากับซ่างกวนสุ่น
对手是	คู่ต่อสู้คือ
对阎关三煞唬烂	การโป้ปดสามมารแห่งเอี๋ยนกวน
小师妹想好了吗	ศิษย์น้องคนเล็กคิดดีแล้วหรือยัง
小师妹的决策	การตัดสินใจของศิษย์น้องคนเล็ก
小师妹的反应	ปฏิกิริยาของศิษย์น้องคนเล็ก
小师妹的想法	ความคิดของศิษย์น้องคนเล็ก
小师妹的抵抗	การต่อต้านของศิษย์น้องคนเล็ก
小梅的厨艺	ฝีมือทำอาหารของเสี่ยวเหมย
小梅的心	หัวใจของเสี่ยวเหมย
小竹的勇气	ความกล้าหาญของเสี่ยวจู๋
小竹的方针	แนวทางของเสี่ยวจู๋
岭南派的意见	ความเห็นของสำนักหลิงหนาน
峨嵋派印象	ความประทับใจต่อสำนักเอ๋อเหมย
崆峒派印象	ความประทับใจต่อสำนักคงถง
崆峒派的答复	คำตอบของสำนักคงถง
嵩山派印象	ความประทับใจต่อสำนักซงซาน
巴结行动	การกระทำเอาใจ
带媒人的数量	จำนวนแม่สื่อที่พาไป
店小二的心	หัวใจของบ๋อยร้านเตี้ยน
弟子出走结果	ผลการหนีจากสำนักของศิษย์
弟子的反应	ปฏิกิริยาของศิษย์
弟子的回应	คำตอบของศิษย์
弟子的意图	เจตนาของศิษย์
往下跳的结果	ผลของการกระโดดลงไป
心跳程度	ระดับการเต้นของหัวใจ
怎么办	จะทำอย่างไรดี
怎么办呢	จะทำอย่างไรดีเล่า
思想战的胜负	แพ้ชนะแห่งสงครามความคิด
